#     x (arcsec)      y (arcsec)              g1              g2               z
       -539.3518       -534.7540         -0.2102         -0.0982           5.031
       -116.6147       -852.1970          0.1578         -0.0293           1.247
       -888.7841        238.7302         -0.4471          0.2737           0.698
        782.9298        274.6269         -0.1418         -0.1860           0.729
        729.6577        311.7937         -0.4502          0.5982           3.926
        696.1622        705.2229          0.2284          0.0253           5.474
         74.0924        348.8433         -0.0979         -0.3772           2.665
       -653.4895        455.3401          0.0509         -0.0028           1.410
       -249.7309        419.0392         -0.0305          0.1814           2.696
       -693.3078       -464.8322          0.0756         -0.0569           3.618
       -782.0632        532.6382         -0.5083         -0.1493           5.479
       -383.5552       -660.4889          0.1707         -0.2194           2.129
         64.6150       -348.1622          0.5357         -0.1748           4.427
       -857.2515        813.2458         -0.2106         -0.3673           5.241
        123.0649        127.5427         -0.0532         -0.0036           0.452
        859.8435        610.0074         -0.0164         -0.1226           5.071
        170.1357       -614.3029          0.2152         -0.4612           1.542
       -438.0664       -414.6450          0.0391         -0.2851           5.704
       -602.3722        383.8051          0.1534         -0.1694           0.481
        697.5208        637.0846          0.2265         -0.1339           3.922
        203.4011        746.4504          0.0765         -0.6113           0.734
        212.2807        -97.3601         -0.5348         -0.4257           3.360
        702.3843        381.1874         -0.0219          0.2367           0.950
       -721.7008        108.7899         -0.1243          0.7336           2.606
        845.5900        807.9196         -0.7681         -0.0255           4.593
       -601.4713       -438.6927          0.5809         -0.1327           4.041
        -85.5333        445.7319          0.0396          0.0321           5.488
        799.5283        198.8518         -0.0730          0.0569           5.321
       -825.4802        261.0549          0.2178         -0.2376           2.499
        -37.1961        361.2049          0.1019          0.0982           5.121
        456.4717       -196.7855         -0.0405          0.2548           3.264
        814.8008       -368.4180          0.1389         -0.0672           1.119
        722.0924         64.6611          0.3949          0.6671           5.582
       -865.1511        768.3935          0.0268          0.5977           2.601
        342.9290       -745.2155          0.1673          0.0108           5.484
       -526.3029        205.1653          0.2284          0.1287           1.559
       -122.2493        843.0787          0.5196         -0.4211           3.369
        889.1484       -198.4512         -0.5414         -0.5919           4.035
       -652.5899         38.2133         -0.1055         -0.1933           0.591
       -119.9785       -570.6568          0.2918          0.0785           5.016
        652.8206        663.9608          0.2068         -0.1476           1.459
       -782.8089        574.1768         -0.1423         -0.0817           3.597
       -771.6876        454.7409         -0.0525          0.1670           3.361
        232.0841        789.8133          0.2535          0.6068           4.169
       -701.7025         51.5075          0.2822          0.3091           3.972
       -782.8062        325.9611          0.2635          0.0698           2.628
        516.5086       -410.2415          0.4617          0.4327           1.170
        528.9022       -870.8556         -0.3875         -0.2305           2.307
       -475.6902        131.1334         -0.1957          0.2057           1.556
        267.9085       -638.3789         -0.0666          0.1655           3.988
        247.9719       -645.1950         -0.2143         -0.1028           5.223
        826.1809       -148.9236          0.2618          0.4957           2.098
        709.0697       -223.8839          0.5702         -0.0695           1.508
       -550.1024       -220.2888          0.0985         -0.0328           4.785
       -808.8944        742.1267          0.0345         -0.3019           0.417
       -227.5976       -203.6554         -0.3582          0.0862           4.283
       -658.5053       -832.3047          0.4817          0.0400           5.815
       -427.9648       -851.1843         -0.0397          0.0956           3.725
       -663.2720       -843.2893         -0.6624          0.0291           5.114
        518.3411        300.6771          0.0964         -0.0639           1.919
